TID: [] [2025-04-10 17:58:32,509] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:01:43,554] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:03:51,364] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:21:52,080] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:26:48,194] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:32:19,552] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 18:57:41,405] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 19:16:17,622] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 19:25:36,320] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [] [2025-04-10 21:04:31,029] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : gender | Data : { External Claim URI:gender, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/gender, Claim Properties: {ReadOnly:true, Description:End-User's gender. Values defined by this specification are female and male. Other values MAY be used when neither of the defined values are applicable., SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/gender, DisplayName:Gender} } | Result : Success 
TID: [] [2025-04-10 21:04:31,072] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : email_verified | Data : { External Claim URI:email_verified, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/identity/emailVerified, Claim Properties: {Description:True if the End-User's e-mail address has been verified; otherwise false. , MappedLocalClaim:http://wso2.org/claims/identity/emailVerified, DisplayName:Email Verified} } | Result : Success 
TID: [] [2025-04-10 21:04:31,111] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : zoneinfo | Data : { External Claim URI:zoneinfo, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/timeZone, Claim Properties: {Description:String from zoneinfo time zone database representing the End-User's time zone. For example, Europe/Paris or America/Los_Angeles., MappedLocalClaim:http://wso2.org/claims/timeZone, DisplayName:Zone Info} } | Result : Success 
TID: [] [2025-04-10 21:04:31,150] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : picture | Data : { External Claim URI:picture, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/photourl, Claim Properties: {Description:URL of the End-User's profile picture. This URL MUST refer to an image file (for example, a PNG, JPEG, or GIF image file), DisplayOrder:9, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/photourl, DisplayName:Picture} } | Result : Success 
TID: [] [2025-04-10 21:04:31,187] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : preferred_username | Data : { External Claim URI:preferred_username, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/displayName, Claim Properties: {Description:Shorthand name by which the End-User wishes to be referred to at the RP, such as janedoe or j.doe., DisplayOrder:7, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/displayName, DisplayName:Preferred Username} } | Result : Success 
TID: [] [2025-04-10 21:04:31,223] []  INFO {AUDIT_LOG} - Initiator : w**************r | Action : Update-External-Claim | Target : middle_name | Data : { External Claim URI:middle_name, Claim Dialect URI:http://wso2.org/oidc/claim, Mapped Local Claim URI:http://wso2.org/claims/middleName, Claim Properties: {Description:Middle name(s) of the End-User. Note that in some cultures, people can have multiple middle names; all can be present, with the names being separated by space characters. Also note that in some cultures, middle names are not used., DisplayOrder:5, SupportedByDefault:true, MappedLocalClaim:http://wso2.org/claims/middleName, DisplayName:Middle Name} } | Result : Success 
